Jahr,primary equivalised income,VI-,VI+,gross equivalised income,VI-1,VI+1,disposable equivalised income,VI-2,VI+2
2000,"0,4078","0,3923","0,4233","0,2859","0,2725","0,2992","0,2874","0,273","0,3018"
2001,"0,3916","0,3784","0,4049","0,2702","0,2592","0,2811","0,2628","0,2512","0,2745"
2002,"0,4069","0,3927","0,421","0,2771","0,2651","0,2891","0,274","0,2624","0,2857"
2003,"0,3924","0,3799","0,405","0,2618","0,2528","0,2708","0,2608","0,2518","0,2698"
2004,"0,4091","0,396","0,4223","0,2673","0,257","0,2775","0,2691","0,2588","0,2794"
2005,"0,4126","0,3985","0,4267","0,2724","0,2614","0,2834","0,2696","0,2587","0,2805"
2006,"0,4116","0,398","0,4252","0,2711","0,2614","0,2809","0,2738","0,2618","0,2858"
2007,"0,4241","0,4101","0,4381","0,2844","0,2736","0,2952","0,2882","0,2758","0,3007"
2008,"0,4132","0,3995","0,4268","0,2789","0,2678","0,2901","0,279","0,2692","0,2889"
2009,"0,4047","0,3922","0,4171","0,2693","0,26","0,2786","0,2752","0,2623","0,2881"
2010,"0,4104","0,3972","0,4237","0,276","0,2656","0,2863","0,2822","0,2659","0,2985"
2011,"0,4179","0,4049","0,4308","0,2731","0,2642","0,282","0,28","0,2631","0,297"
2012,"0,4283","0,4065","0,4502","0,2914","0,2709","0,3118","0,2887","0,2677","0,3098"
2013,"0,4375","0,4208","0,4541","0,2912","0,2764","0,306","0,2953","0,2769","0,3137"
2014,"0,4315","0,4143","0,4487","0,2935","0,2778","0,3093","0,2931","0,2764","0,3098"
,,,,,,,,,
2015,"0,4455","0,4288","0,4622","0,2898","0,2758","0,3039","0,2919","0,2756","0,3081"
2016,"0,4493","0,4351","0,4636","0,2873","0,2762","0,2984","0,2904","0,277","0,3039"
2017,"0,458","0,4416","0,4743","0,2975","0,2835","0,3116","0,2993","0,2839","0,3148"
2018,"0,4597","0,4441","0,4754","0,2926","0,28","0,3052","0,2951","0,282","0,3081"
2019,"0,4498","0,435","0,4645","0,2896","0,2778","0,3014","0,3052","0,291","0,3195"
2020,"0,4493","0,4338","0,4647","0,2934","0,281","0,3058","0,3008","0,2876","0,3141"
2021,"0,4486","0,4344","0,4628","0,2863","0,2758","0,2969","0,2966","0,2838","0,3094"
"2014,5",,,,,,,,,
