"Gini Coefficients by Year and Indicator"

"Year","By total incomes","By total cash inflows","By total inflows","By total consumption expenditures","By total cash expenditures","By total expenditures"
"2006",0.43,0.49,0.44,0.38,0.45,0.40
"2007",0.44,0.49,0.45,0.40,0.46,0.42
"2008",0.43,0.50,0.46,0.40,0.47,0.43
"2009",0.43,0.50,0.45,0.40,0.47,0.43
"2010",0.44,0.49,0.45,0.42,0.48,0.44
"2011",0.43,0.49,0.46,0.42,0.49,0.46
"2012",0.42,0.47,0.44,0.41,0.48,0.44
"2013",0.40,0.43,0.41,0.39,0.45,0.42
"2014",0.40,0.43,0.41,0.39,0.47,0.44
"2015",0.40,0.43,0.41,0.38,0.45,0.43
"2016",0.40,0.43,0.41,0.39,0.46,0.43
"2017",0.41,0.45,0.43,0.40,0.47,0.45
"2018",0.39,0.42,0.40,0.37,0.44,0.42
"2019",0.39,0.42,0.40,0.37,0.44,0.43
"2020",0.37,0.39,0.37,0.36,0.42,0.41
"2021",0.37,0.39,0.38,0.34,0.42,0.40
"2022",0.36,0.38,0.37,0.34,0.40,0.39
