"Period","Item",Gini coefficient
"2011","Market income",0.418
"2011","Disposable income",0.387
"2012","Market income",0.411
"2012","Disposable income",0.383
"2013","Market income",0.401
"2013","Disposable income",0.370
"2014","Market income",0.397
"2014","Disposable income",0.361
"2015","Market income",0.396
"2015","Disposable income",0.350
"2016","Market income",0.402
"2016","Disposable income",0.353
"2017","Market income",0.406
"2017","Disposable income",0.352
"2018","Market income",0.402
"2018","Disposable income",0.342
"2019","Market income",0.404
"2019","Disposable income",0.336
"2020","Market income",0.405
"2020","Disposable income",0.328
"2021","Market income",0.405
"2021","Disposable income",0.329
"2022","Market income",0.396
"2022","Disposable income",0.324
"2023","Market income",0.392
"2023","Disposable income",0.323
"2024","Market income",0.399
"2024","Disposable income",0.325
