country	year	gini	gini_se	area_covered	equiv_scale	welfare_def	source	survey	link
Argentina	1961	42		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 5 (1987)	CONADE-CEPAL	http://hdl.handle.net/11362/8978 
Argentina	1963	37		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	EPC	http://hdl.handle.net/11362/8978 
Argentina	1963	36		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	EPC	http://hdl.handle.net/11362/8978 
Argentina	1965	35		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	ECA	http://hdl.handle.net/11362/8978 
Argentina	1970	37		urban (greater Buenos Aires)	hh	"Monetary Income, Gross"	CEPAL Serie Distribucion del Ingreso 5 (1987)	EPF	http://hdl.handle.net/11362/8978 
Argentina	1970	36		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	EED	http://hdl.handle.net/11362/8978 
Argentina	1972	35		all	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	ENH	http://hdl.handle.net/11362/8978 
Argentina	1972	33		urban (greater Buenos Aires)	hh	"Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	ENH	http://hdl.handle.net/11362/8978 
Argentina	1974	36		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	EPH	http://hdl.handle.net/11362/8978 
Argentina	1975	36		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	EPH	http://hdl.handle.net/11362/8978 
Argentina	1976	36		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	EPH	http://hdl.handle.net/11362/8978 
Argentina	1978	39		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	ESH	http://hdl.handle.net/11362/8978 
Argentina	1980	41		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 10 (1993)	EPH	http://hdl.handle.net/11362/9403
Argentina	1981	43		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 5 (1987)	EPH	http://hdl.handle.net/11362/8978 
Argentina	1986	43		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 10 (1993)	EPH	http://hdl.handle.net/11362/9403
Argentina	1989	50		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 10 (1993)	EPH	http://hdl.handle.net/11362/9403
Argentina	1990	43		urban (greater Buenos Aires)	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 10 (1993)	EPH	http://hdl.handle.net/11362/9403
Argentina	2002	47.8		all	hh	"Income, Disposable"	"Fiszbein, Giovagnioli, and Aduriz 2003"	ISCA	http://hdl.handle.net/11362/10881 
Argentina	2002	47.3		all	hh	"Income, Disposable"	"Fiszbein, Giovagnioli, and Aduriz 2003"	ISCA	http://hdl.handle.net/11362/10881 
Brazil	1960	53		all	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 2 (1986)	Censo	http://hdl.handle.net/11362/8905 
Brazil	1970	59		all	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 2 (1986)	Censo	http://hdl.handle.net/11362/8905 
Brazil	1972	61		all	hh	"Monetary Income, Market"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1974	56		all	hh	Consumption	CEPAL Serie Distribucion del Ingreso 2 (1986)	ENDEF	http://hdl.handle.net/11362/8905 
Brazil	1976	60		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1977	61		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1978	56		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1979	55		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 10 (1993)	PNAD	http://hdl.handle.net/11362/9403
Brazil	1980	56		all	hh	"Monetary Income, Disposable"	CEPAL Serie Distribucion del Ingreso 2 (1986)	Censo	http://hdl.handle.net/11362/8905 
Brazil	1981	53		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1982	56		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1983	57		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1984	52		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1985	53		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1986	54		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 9 (1990)	PNAD	http://hdl.handle.net/11362/9147 
Brazil	1987	57		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 10 (1993)	PNAD	http://hdl.handle.net/11362/9403
Brazil	1989	59		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 10 (1993)	PNAD	http://hdl.handle.net/11362/9403
Brazil	1990	57		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 10 (1993)	PNAD	http://hdl.handle.net/11362/9403
Chile	1968	45		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 3 (1987)	ENIF	http://hdl.handle.net/11362/8971 
Chile	1971	46		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 3 (1987)	ECMO	http://hdl.handle.net/11362/8971 
Chile	1989	54		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 15 (1993)	ENE	http://hdl.handle.net/11362/9455
Chile	1990	53		all	hh	"Income, Gross"	CEPAL Serie Distribucion del Ingreso 15 (1993)	ENE	http://hdl.handle.net/11362/9455
