"Series title","Gini"
"Data-set title","Statistical Institute of Jamaica's Data"
"Geographic area",""
"Frequency","Annual"
"Adjustment",""
"Source","Jamaica Survey of Living Gonditions"
"Publisher","Statistical Institute of Jamaica"
"Units","Percentage"
"Unit multiplier","NA"
"Start date","1/1/1991"
"End date","1/1/2021"
"Release date","10/1/2024"
"",""
"DATE","VALUE"
"1/1/1991","0.401"
"1/1/1992","0.394"
"1/1/1993","0.365"
"1/1/1994","0.384"
"1/1/1995","0.36"
"1/1/1996","0.359"
"1/1/1997","0.389"
"1/1/1998","0.37"
"1/1/1999","0.376"
"1/1/2000","0.397"
"1/1/2001","0.391"
"1/1/2002","0.421"
"1/1/2003","0.393"
"1/1/2004","0.39"
"1/1/2005","0.389"
"1/1/2006","0.379"
"1/1/2007","0.368"
"1/1/2008","0.376"
"1/1/2009","0.378"
"1/1/2010","0.394"
"1/1/2011",""
"1/1/2012","0.399"
"1/1/2013","0.409"
"1/1/2014","0.379"
"1/1/2015","0.3803"
"1/1/2016","0.3518"
"1/1/2017","0.3748"
"1/1/2018","0.3615"
"1/1/2019","0.3671"
"1/1/2020",""
"1/1/2021","0.3991"
"",""
"Footnotes","Geographic area  
Adjustment  
Footnotes: Adjustment  DATE: VALUE
Footnotes  
"
