Percentage Share of Disposable Income by Percentile Group of,
HouseholdsIncome Inequality IndexesAnnual-Annual by Period and Item,
,
 ,Gini's concentration coefficient
1976,0.28
1977,0.28
1978,0.29
1979,0.29
1980,0.28
1981,0.28
1982,0.28
1983,0.29
1984,0.29
1985,0.29
1986,0.3
1987,0.3
1988,0.3
1989,0.3
1990,0.31
1991,0.31
1992,0.31
1993,0.32
1994,0.32
1995,0.32
1996,0.32
1997,0.32
1998,0.32
1999,0.33
2000,0.33
2001,0.35
2002,0.35
2003,0.34
2004,0.34
2005,0.34
2006,0.34
2007,0.34
2008,0.34
2009,0.35
2010,0.34
2011,0.34
2012,0.34
2013,0.34
2014,0.34
2015,0.34
