swiid.name,swiid.region
Afghanistan,DA
Aland Islands,WE
Albania,FSU+
Algeria,AFR
American Samoa,AES
Andorra,WE
Angola,AFR
Anguilla,LAC
Antigua and Barbuda,LAC
Argentina,LAC
Armenia,FSU+
Aruba,LAC
Australia,AES
Austria,WE
Azerbaijan,FSU+
Bahamas,LAC
Bahrain,DA
Bangladesh,DA
Barbados,LAC
Belarus,FSU+
Belgium,WE
Belize,LAC
Benin,AFR
Bermuda,LAC
Bhutan,DA
Bolivia,LAC
Bonaire,LAC
Bosnia and Herzegovina,FSU+
Botswana,AFR
Brazil,LAC
Brunei Darussalam,DA
Bulgaria,FSU+
Burkina Faso,AFR
Burundi,AFR
Cabo Verde,AFR
Cambodia,DA
Cameroon,AFR
Canada,AES
Cayman Islands,LAC
Central African Republic,AFR
Chad,AFR
Chile,LAC
China,DA
Colombia,LAC
Comoros,AFR
Congo,AFR
Costa Rica,LAC
Côte D'Ivoire,AFR
Croatia,AEE
Cuba,LAC
Curacao,LAC
Cyprus,WE
Czechoslovakia,AEE
Czech Republic,AEE
"Congo, D.R.",AFR
Denmark,WE
Djibouti,AFR
Dominica,LAC
Dominican Republic,LAC
Ecuador,LAC
Egypt,AFR
El Salvador,LAC
Equatorial Guinea,AFR
Eritrea,AFR
Estonia,AEE
Ethiopia,AFR
Fiji,DA
Finland,WE
France,WE
Gabon,AFR
Gambia,AFR
Georgia,AEE
German Democratic Republic,AEE
Germany,WE
Ghana,AFR
Greece,WE
Grenada,LAC
Guadeloupe,LAC
Guatemala,LAC
Guinea,AFR
Guinea Bissau,AFR
Guyana,LAC
Haiti,LAC
Honduras,LAC
Hong Kong,AT
Hungary,AEE
Iceland,WE
India,DA
Indonesia,DA
Iran,DA
Iraq,DA
Ireland,AES
Israel,AES
Italy,WE
Jamaica,LAC
Japan,AT
Jordan,DA
Kazakhstan,FSU+
Kenya,AFR
Kiribati,DA
Democratic People's Republic of Korea,DA
Kosovo,FSU+
Kuwait,DA
Kyrgyzstan,AFR
Lao,DA
Latvia,AEE
Lebanon,DA
Lesotho,AFR
Liberia,AFR
Libya,AFR
Liechtenstein,WE
Lithuania,AEE
Luxembourg,WE
Macao,DA
Madagascar,AFR
Malawi,AFR
Malaysia,DA
Maldives,DA
Mali,AFR
Malta,WE
Martinique,LAC
Mauritania,AFR
Mauritius,AFR
Mexico,LAC
Micronesia,DA
Monaco,WE
Mongolia,DA
Montenegro,FSU+
Montserrat,LAC
Morocco,AFR
Mozambique,AFR
Myanmar,DA
Namibia,AFR
Nauru,DA
Nepal,DA
Netherlands,WE
New Zealand,AES
Nicaragua,LAC
Niger,AFR
Nigeria,AFR
Norway,WE
Oman,DA
Pakistan,DA
Palau,DA
Palestine,DA
Panama,LAC
Papua New Guinea,DA
Paraguay,LAC
Peru,LAC
Philippines,DA
Poland,AEE
Portugal,WE
Puerto Rico,AES
Qatar,DA
Korea,AT
Moldova,FSU+
Vietnam,DA
Romania,AEE
Russia,FSU+
Rwanda,AFR
Saint Kitts and Nevis,LAC
Saint Lucia,LAC
Saint Martin,LAC
Saint Vincent and the Grenadines,LAC
Samoa,DA
San Marino,WE
Sao Tome and Principe,AFR
Saudi Arabia,DA
Senegal,AFR
Serbia,FSU+
Seychelles,AFR
Sierra Leone,AFR
Singapore,AT
Sint Maarten,LAC
Slovakia,AEE
Slovenia,AEE
Solomon Islands,DA
Somalia,AFR
South Africa,AFR
South Sudan,AFR
Spain,WE
Sri Lanka,DA
Sudan,AFR
Suriname,LAC
Swaziland,AFR
Sweden,WE
Switzerland,WE
Syria,DA
Taiwan,AT
Tajikistan,FSU+
Thailand,DA
Macedonia,FSU+
Timor-Leste,DA
Togo,AFR
Tonga,DA
Trinidad and Tobago,LAC
Tunisia,AFR
Turkey,DA
Turkmenistan,FSU+
Turks and Caicos Islands,LAC
Tuvalu,DA
Uganda,AFR
Ukraine,FSU+
United Arab Emirates,DA
United Kingdom,AES
Tanzania,AFR
United States,AES
Uruguay,LAC
Uzbekistan,FSU+
Vanuatu,DA
Venezuela,LAC
Viet Nam,DA
Yemen,DA
Yugoslavia,FSU+
Zambia,AFR
Zimbabwe,AFR
Soviet Union,FSU+
