country,year,gini,se,break,equiv_scale,welfare_def,source1,source2,page,series,link,notes,date
Canada,2012,43.6,,,"hh, sqrt",market income,Statistics Canada,Canadian Income Survey,,source2,http://www5.statcan.gc.ca/cansim/a26?id=2060033,,2015-09-05
Canada,2013,43.8,,,"hh, sqrt",market income,Statistics Canada,Canadian Income Survey,,source2,http://www5.statcan.gc.ca/cansim/a26?id=2060033,,2015-09-05
Canada,2012,35.7,,,"hh, sqrt",gross income,Statistics Canada,Canadian Income Survey,,source2,http://www5.statcan.gc.ca/cansim/a26?id=2060033,,2015-09-05
Canada,2013,35.9,,,"hh, sqrt",gross income,Statistics Canada,Canadian Income Survey,,source2,http://www5.statcan.gc.ca/cansim/a26?id=2060033,,2015-09-05
Canada,2012,31.8,,,"hh, sqrt",net income,Statistics Canada,Canadian Income Survey,,source2,http://www5.statcan.gc.ca/cansim/a26?id=2060033,,2015-09-05
Canada,2013,31.9,,,"hh, sqrt",net income,Statistics Canada,Canadian Income Survey,,source2,http://www5.statcan.gc.ca/cansim/a26?id=2060033,,2015-09-05
Canada,1976,44.7,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1977,43.4,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1978,44,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1979,43.3,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1980,43.7,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1981,43.4,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
Canada,1982,45.1,,,hh,market income,Statistics Canada,"Survey of Labour and Income Dynamics, Canada",,source2,http://www5.statcan.gc.ca/cansim/a26?id=2020705,,2015-09-05
